Model,Year,Temp
1,1861,-0.826855916666667
1,1862,-0.873426166666667
1,1863,-0.7588095
1,1864,-0.746434583333333
1,1865,-0.848033
1,1866,-0.942197666666667
1,1867,-0.793477416666667
1,1868,-0.851356416666667
1,1869,-0.6872635
1,1870,-0.81605025
1,1871,-0.773869916666667
1,1872,-0.891349833333333
1,1873,-0.841448583333333
1,1874,-0.734451333333333
1,1875,-0.802078166666667
1,1876,-0.855824666666667
1,1877,-0.898292166666667
1,1878,-0.733828166666667
1,1879,-0.729444583333333
1,1880,-0.866271916666667
1,1881,-0.92609925
1,1882,-0.8335445
1,1883,-1.11274175
1,1884,-1.24418916666667
1,1885,-1.17313208333333
1,1886,-1.22579083333333
1,1887,-0.984240166666667
1,1888,-0.978277416666667
1,1889,-1.17289916666667
1,1890,-1.14200558333333
1,1891,-1.20645208333333
1,1892,-0.997191916666667
1,1893,-1.05475591666667
1,1894,-1.0082015
1,1895,-1.02178125
1,1896,-1.05474366666667
1,1897,-0.871847166666667
1,1898,-0.737032666666667
1,1899,-0.75879925
1,1900,-0.804176333333333
1,1901,-0.787897666666667
1,1902,-0.844935
1,1903,-0.900934916666667
1,1904,-0.881355083333333
1,1905,-0.917973916666667
1,1906,-0.989477416666667
1,1907,-0.896787
1,1908,-0.89851175
1,1909,-0.784278916666667
1,1910,-0.810460333333333
1,1911,-1.03071791666667
1,1912,-0.911781416666667
1,1913,-1.02966116666667
1,1914,-0.889859416666667
1,1915,-0.814193333333333
1,1916,-0.77908075
1,1917,-0.676790833333333
1,1918,-0.731648916666667
1,1919,-0.614824916666667
1,1920,-0.704483166666667
1,1921,-0.796620583333333
1,1922,-0.706240416666667
1,1923,-0.596560083333333
1,1924,-0.5942205
1,1925,-0.7556
1,1926,-0.651825166666667
1,1927,-0.680804
1,1928,-0.629399666666667
1,1929,-0.665112833333333
1,1930,-0.705474916666667
1,1931,-0.70650475
1,1932,-0.797282
1,1933,-0.817774333333333
1,1934,-0.879575
1,1935,-0.8765135
1,1936,-0.940401666666667
1,1937,-0.823638916666667
1,1938,-0.864172333333333
1,1939,-0.791468083333333
1,1940,-0.871065416666667
1,1941,-0.825917416666667
1,1942,-0.701380333333333
1,1943,-0.699600166666667
1,1944,-0.76078275
1,1945,-0.712051333333333
1,1946,-0.560946083333333
1,1947,-0.576797583333333
1,1948,-0.6402385
1,1949,-0.539710916666667
1,1950,-0.509529166666667
1,1951,-0.466758583333333
1,1952,-0.5778325
1,1953,-0.574404333333333
1,1954,-0.677691083333333
1,1955,-0.56305425
1,1956,-0.558904
1,1957,-0.630241333333333
1,1958,-0.635602583333333
1,1959,-0.771458833333333
1,1960,-0.748837833333333
1,1961,-0.5518595
1,1962,-0.615033333333333
1,1963,-0.719756916666667
1,1964,-0.945783083333333
1,1965,-0.84388975
1,1966,-0.856214
1,1967,-0.8960165
1,1968,-0.834610166666667
1,1969,-0.707598333333333
1,1970,-0.824274416666667
1,1971,-0.76723475
1,1972,-0.673995916666667
1,1973,-0.701469333333333
1,1974,-0.730885833333333
1,1975,-0.728879166666667
1,1976,-0.542978916666667
1,1977,-0.544148833333333
1,1978,-0.475997833333333
1,1979,-0.575167416666667
1,1980,-0.579719666666667
1,1981,-0.577346833333333
1,1982,-0.58105725
1,1983,-0.732617666666667
1,1984,-0.67566425
1,1985,-0.71440125
1,1986,-0.72590125
1,1987,-0.518185833333333
1,1988,-0.489941916666667
1,1989,-0.362388666666667
1,1990,-0.398612916666667
1,1991,-0.4597855
1,1992,-0.74650325
1,1993,-0.607355666666667
1,1994,-0.46041875
1,1995,-0.4353815
1,1996,-0.378339
1,1997,-0.357256583333333
1,1998,-0.250371333333333
1,1999,-0.140271433333333
1,2000,-0.1198935225
1,2001,-0.169748934166667
1,2002,-0.136324558333333
1,2003,-0.173141575
1,2004,0.0207238833333333
1,2005,-0.081738875
1,2006,-0.108667966666667
1,2007,-0.001355525
1,2008,-0.0252736366666667
1,2009,0.0447820558333333
1,2010,0.15838375
1,2011,0.0822602416666667
1,2012,0.287940916666667
1,2013,0.201217683333333
1,2014,0.284167
2,1861,-0.8134615
2,1862,-0.8821155
2,1863,-0.846674583333333
2,1864,-0.811261583333333
2,1865,-0.744626416666667
2,1866,-0.72767625
2,1867,-0.842864916666667
2,1868,-0.888405166666667
2,1869,-0.778437333333333
2,1870,-0.65219625
2,1871,-0.7926255
2,1872,-0.812192916666667
2,1873,-0.631215583333333
2,1874,-0.688214583333333
2,1875,-0.6191355
2,1876,-0.532379166666667
2,1877,-0.70653275
2,1878,-0.775891666666667
2,1879,-0.6976725
2,1880,-0.738934666666667
2,1881,-0.754430083333333
2,1882,-0.803042083333333
2,1883,-0.898150166666667
2,1884,-0.9852905
2,1885,-0.959182416666667
2,1886,-1.0853065
2,1887,-1.04211933333333
2,1888,-1.034334
2,1889,-1.01748883333333
2,1890,-1.03664058333333
2,1891,-1.00219425
2,1892,-0.996241333333333
2,1893,-0.944852333333333
2,1894,-0.75239575
2,1895,-0.68889075
2,1896,-0.704282166666667
2,1897,-0.684580666666667
2,1898,-0.718503416666667
2,1899,-0.692311583333333
2,1900,-0.787790833333333
2,1901,-0.684127833333333
2,1902,-0.769935666666667
2,1903,-0.96900925
2,1904,-0.968196166666667
2,1905,-0.88142625
2,1906,-0.991337916666667
2,1907,-0.95503275
2,1908,-0.833877416666667
2,1909,-0.81306475
2,1910,-0.747777333333333
2,1911,-0.713068666666667
2,1912,-0.765780083333333
2,1913,-0.871094
2,1914,-0.713666333333333
2,1915,-0.741912666666667
